Date,Actual employer and household contributions (5+7),Actual employer contributions,Actual household contributions,Administrative expenses,Benefit payments and withdrawals,Cash flow,Claims to benefits accrued through service to employers,Contributions,"Current expenditures, accrual basis","Current receipts, accrual basis",Dividends,Effect on personal income (1-7-9 or 15-7-9),Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets,Equals: Change in personal wealth,Equals: Effect on personal saving,Household pension contribution supplements,Imputed employer contributions,Imputed income payments on assets to persons,Imputed interest on plans' claims on employers,Income receipts on assets (including plans' claims on employers),Interest,Interest accrued on benefit entitlements,Less: Administrative expenses,Less: Benefit payments and withdrawals,Less: Benefit payments and withdrawals (20),Less: Effect on personal consumption expenditures (2),Less: Interest and dividend income received by plans (10),Less: Pension service charges,Monetary income receipts on assets (12+14),Monetary interest,Net change in benefit entitlements,Net transfers from other sources,Output,Plus: Household actual contributions (7),Plus: Implied funding of benefits from holding gains on assets
1984-01-01,132873.0,116549.0,16323.0,3048.0,107889.0,105309.0,99731.0,263856.0,431029.0,431029.0,14163.0,250581.0,158229.0,249795.0,247532.0,164125.0,-30093.0,164125.0,80752.0,164125.0,149962.0,166387.0,3048.0,107889.0,107889.0,3048.0,164125.0,3048.0,83374.0,69211.0,155967.0,,3048.0,16323.0,2262.0
1985-01-01,133968.0,117203.0,16766.0,3769.0,121543.0,104987.0,105192.0,275922.0,450422.0,450422.0,15970.0,262926.0,165581.0,270358.0,259157.0,170730.0,-25007.0,170730.0,74399.0,170730.0,154761.0,181931.0,3769.0,121543.0,121543.0,3769.0,170730.0,3769.0,96331.0,80361.0,154379.0,,3769.0,16766.0,11201.0
1986-01-01,129334.0,112078.0,17257.0,4178.0,139200.0,91495.0,108909.0,294389.0,484046.0,484046.0,16745.0,281310.0,165738.0,287682.0,277132.0,185479.0,-16247.0,185479.0,79941.0,185479.0,168735.0,196029.0,4178.0,139200.0,139200.0,4178.0,185479.0,4178.0,105538.0,88794.0,155189.0,,4178.0,17257.0,10550.0
1987-01-01,127898.0,110381.0,17517.0,4201.0,142857.0,93017.0,109931.0,309593.0,513457.0,513457.0,17636.0,296278.0,178114.0,303455.0,292077.0,199662.0,-13766.0,199662.0,87485.0,199662.0,182027.0,211040.0,4201.0,142857.0,142857.0,4201.0,199662.0,4201.0,112177.0,94541.0,166736.0,,4201.0,17517.0,11378.0
1988-01-01,125959.0,107960.0,17998.0,4482.0,143256.0,94470.0,114805.0,324609.0,538895.0,538895.0,18234.0,311093.0,197207.0,322464.0,306611.0,209804.0,-6672.0,209804.0,93555.0,209804.0,191570.0,225658.0,4482.0,143256.0,143256.0,4482.0,209804.0,4482.0,116249.0,98016.0,181353.0,,4482.0,17998.0,15854.0
1989-01-01,128149.0,109364.0,18785.0,4689.0,154953.0,96044.0,130952.0,352260.0,578256.0,578256.0,20231.0,338163.0,203325.0,339493.0,333474.0,221307.0,7492.0,221307.0,93771.0,221307.0,201076.0,227326.0,4689.0,154953.0,154953.0,4689.0,221307.0,4689.0,127537.0,107306.0,197307.0,,4689.0,18785.0,6019.0
1990-01-01,129241.0,109416.0,19824.0,5210.0,161325.0,98553.0,137305.0,373080.0,614065.0,614065.0,22220.0,358465.0,218315.0,359815.0,353255.0,235775.0,13274.0,235775.0,99928.0,235775.0,213554.0,242335.0,5210.0,161325.0,161325.0,5210.0,235775.0,5210.0,135847.0,113627.0,211755.0,,5210.0,19824.0,6560.0
1991-01-01,140050.0,119282.0,20768.0,5641.0,173750.0,104230.0,145193.0,391003.0,642455.0,642455.0,24441.0,375876.0,231955.0,384937.0,370235.0,245811.0,10784.0,245811.0,102240.0,245811.0,221370.0,260513.0,5641.0,173750.0,173750.0,5641.0,245811.0,5641.0,143571.0,119130.0,217253.0,,5641.0,20768.0,14702.0
1992-01-01,147749.0,126119.0,21631.0,5857.0,186113.0,97983.0,167195.0,419361.0,677385.0,677385.0,26483.0,403588.0,243240.0,407723.0,397731.0,252166.0,25302.0,252166.0,109962.0,252166.0,225684.0,262159.0,5857.0,186113.0,186113.0,5857.0,252166.0,5857.0,142204.0,115721.0,233248.0,,5857.0,21631.0,9992.0
1993-01-01,154209.0,131688.0,22521.0,6423.0,195715.0,96137.0,167803.0,422363.0,683345.0,683345.0,27855.0,406265.0,248844.0,422038.0,399842.0,254559.0,20018.0,254559.0,110493.0,254559.0,226704.0,276755.0,6423.0,195715.0,195715.0,6423.0,254559.0,6423.0,144066.0,116211.0,226648.0,,6423.0,22521.0,22196.0
1994-01-01,163508.0,140196.0,23312.0,6966.0,206864.0,104893.0,172204.0,439140.0,713041.0,713041.0,29500.0,422794.0,256539.0,440091.0,415828.0,266935.0,15662.0,266935.0,111721.0,266935.0,237436.0,291199.0,6966.0,206864.0,206864.0,6966.0,266935.0,6966.0,155215.0,125715.0,232276.0,,6966.0,23312.0,24264.0
1995-01-01,167529.0,142973.0,24555.0,7578.0,218757.0,110367.0,175107.0,455994.0,744460.0,744460.0,31609.0,439017.0,263568.0,457769.0,431439.0,280887.0,15156.0,280887.0,111714.0,280887.0,249278.0,307218.0,7578.0,218757.0,218757.0,7578.0,280887.0,7578.0,169174.0,137565.0,237237.0,,7578.0,24555.0,26330.0
1996-01-01,163496.0,137887.0,25609.0,9356.0,238056.0,93237.0,179599.0,461289.0,752334.0,752334.0,34892.0,445036.0,265499.0,477946.0,435680.0,281690.0,25459.0,281690.0,104537.0,281690.0,246798.0,323956.0,9356.0,238056.0,238056.0,9356.0,281690.0,9356.0,177153.0,142261.0,223233.0,,9356.0,25609.0,42266.0
1997-01-01,160573.0,133965.0,26608.0,10268.0,248835.0,93359.0,186717.0,476829.0,777209.0,777209.0,37071.0,460489.0,278407.0,500634.0,450221.0,290112.0,36412.0,290112.0,98223.0,290112.0,253041.0,340525.0,10268.0,248835.0,248835.0,10268.0,290112.0,10268.0,191889.0,154818.0,227994.0,,10268.0,26608.0,50413.0
1998-01-01,166219.0,138501.0,27718.0,10970.0,270897.0,79340.0,197452.0,482143.0,777804.0,777804.0,37020.0,465395.0,287279.0,530458.0,454425.0,284691.0,42203.0,284691.0,89703.0,284691.0,247671.0,360724.0,10970.0,270897.0,270897.0,10970.0,284691.0,10970.0,194988.0,157968.0,211246.0,,10970.0,27718.0,76033.0
1999-01-01,163228.0,133682.0,29546.0,11407.0,288248.0,62109.0,207464.0,490861.0,785666.0,785666.0,36882.0,472722.0,299088.0,557790.0,461315.0,283398.0,55643.0,283398.0,84862.0,283398.0,246516.0,379872.0,11407.0,288248.0,288248.0,11407.0,283398.0,11407.0,198536.0,161654.0,202613.0,,11407.0,29546.0,96474.0
2000-01-01,169773.0,138660.0,31113.0,13346.0,308303.0,40988.0,215713.0,498307.0,794248.0,794248.0,36248.0,480540.0,306404.0,583594.0,467194.0,282594.0,59286.0,282594.0,89730.0,282594.0,246346.0,398993.0,13346.0,308303.0,308303.0,13346.0,282594.0,13346.0,192864.0,156616.0,190004.0,,13346.0,31113.0,116399.0
