Date,Actual employer and household contributions (5+11),Actual employer contributions,Actual household contributions,Administrative expenses,Benefit payments and withdrawals,Cash flow,Civilian,Claims to benefits accrued through service to employers,Contributions,"Current expenditures, accrual basis","Current receipts, accrual basis",Effect on personal income (1-11-15 or 21-11-15),Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets,Equals: Change in personal wealth,Equals: Effect on personal saving,Household pension contribution supplements,Imputed employer contributions,Imputed income payments on assets to persons,Imputed interest on plans' claims on employers,Income receipts on assets (including plans' claims on employers),Interest,Interest accrued on benefit entitlements,Less: Administrative expenses,Less: Benefit payments and withdrawals,Less: Benefit payments and withdrawals (26),Less: Effect on personal consumption expenditures (2),Less: Interest and dividend income received by plans (16),Less: Pension service charges,Military,Monetary income receipts on assets (18+20),Monetary interest,Net change in benefit entitlements,Output,Plus: Household actual contributions (11),Plus: Implied funding of benefits from holding gains on assets
1929-01-01,79.0,50.0,29.0,0.0,56.0,28.0,42.0,285.0,370.0,455.0,455.0,341.0,314.0,341.0,341.0,85.0,206.0,85.0,80.0,85.0,85.0,85.0,0.0,56.0,56.0,0.0,85.0,0.0,37.4,5.0,5.0,314.0,0.0,29.0,0.0
1930-01-01,82.0,52.0,30.0,0.0,62.0,26.0,44.6,291.0,396.0,501.0,501.0,366.0,334.0,366.0,366.0,105.0,209.0,105.0,99.0,105.0,105.0,105.0,0.0,62.0,62.0,0.0,105.0,0.0,38.4,6.0,6.0,334.0,0.0,30.0,0.0
1931-01-01,84.0,53.0,31.0,0.0,68.0,28.0,46.4,288.0,408.0,528.0,528.0,377.0,340.0,377.0,377.0,120.0,204.0,120.0,108.0,120.0,120.0,120.0,0.0,68.0,68.0,0.0,120.0,0.0,38.4,12.0,12.0,340.0,0.0,31.0,0.0
1932-01-01,86.0,54.0,32.0,0.0,74.0,24.0,46.6,273.0,408.0,543.0,543.0,376.0,334.0,376.0,376.0,135.0,187.0,135.0,123.0,135.0,135.0,135.0,0.0,74.0,74.0,0.0,135.0,0.0,37.6,12.0,12.0,334.0,0.0,32.0,0.0
1933-01-01,82.0,52.0,30.0,0.0,82.0,12.0,49.2,259.0,408.0,557.0,557.0,378.0,326.0,378.0,378.0,149.0,177.0,149.0,137.0,149.0,149.0,149.0,0.0,82.0,82.0,0.0,149.0,0.0,35.4,12.0,12.0,326.0,0.0,30.0,0.0
1934-01-01,86.0,56.0,30.0,0.0,97.0,1.0,58.2,285.0,445.0,605.0,605.0,415.0,348.0,415.0,415.0,160.0,199.0,160.0,148.0,160.0,160.0,160.0,0.0,97.0,97.0,0.0,160.0,0.0,37.6,12.0,12.0,348.0,0.0,30.0,0.0
1935-01-01,101.0,69.0,32.0,0.0,107.0,6.0,67.4,334.0,516.0,698.0,698.0,484.0,409.0,484.0,484.0,182.0,233.0,182.0,170.0,182.0,182.0,182.0,0.0,107.0,107.0,0.0,182.0,0.0,42.2,12.0,12.0,409.0,0.0,32.0,0.0
1936-01-01,120.0,86.0,34.0,0.0,115.0,17.0,74.6,375.0,571.0,767.0,767.0,537.0,456.0,537.0,537.0,196.0,255.0,196.0,184.0,196.0,196.0,196.0,0.0,115.0,115.0,0.0,196.0,0.0,46.4,12.0,12.0,456.0,0.0,34.0,0.0
1937-01-01,147.0,110.0,37.0,0.0,122.0,37.0,76.4,384.0,605.0,826.0,826.0,568.0,483.0,568.0,568.0,221.0,237.0,221.0,209.0,221.0,221.0,221.0,0.0,122.0,122.0,0.0,221.0,0.0,49.2,12.0,12.0,483.0,0.0,37.0,0.0
1938-01-01,165.0,126.0,39.0,0.0,127.0,57.0,78.0,395.0,632.0,869.0,869.0,593.0,505.0,593.0,593.0,237.0,230.0,237.0,218.0,237.0,237.0,237.0,0.0,127.0,127.0,0.0,237.0,0.0,51.8,19.0,19.0,505.0,0.0,39.0,0.0
