Date,Actual employer and household contributions (5+9),Actual employer contributions,Actual household contributions,Administrative expenses,Benefit payments and withdrawals,Cash flow,Claims to benefits,Contributions,Current expenditures,Current receipts,Dividends,Effect on personal income (1-9-10 or 15-9-10),Equals: Change in personal wealth,Equals: Effect on personal saving,Federal government plans,Household pension contribution supplements,Imputed income payments on assets to persons,Income receipts on assets,Interest,Less: Administrative expenses,Less: Benefit payments and withdrawals,Less: Effect on personal consumption expenditures (2),Less: Pension service charges,Monetary income receipts on assets (13+14),Monetary interest,Net change in assets from current transactions,Output,Plus: Holding gains and other changes in assets,Private plans,State and local government plans
1984-01-01,48929.0,20411.0,28518.0,373.0,34086.0,31321.0,48929.0,65407.0,82632.0,82632.0,5515.0,37263.0,63809.0,36889.0,,16852.0,16852.0,16852.0,11337.0,373.0,34086.0,373.0,373.0,16852.0,11337.0,31321.0,373.0,26920.0,19438.0,973.0
1985-01-01,61473.0,26679.0,34793.0,460.0,49138.0,32222.0,61473.0,81360.0,102168.0,102168.0,6304.0,47027.0,168221.0,46567.0,,20348.0,20348.0,20348.0,14044.0,460.0,49138.0,460.0,460.0,20348.0,14044.0,32222.0,460.0,121654.0,25612.0,1067.0
1986-01-01,74964.0,36745.0,38219.0,526.0,64452.0,32729.0,74964.0,97181.0,120451.0,120451.0,6487.0,59488.0,84698.0,58962.0,,22743.0,22743.0,22743.0,16256.0,526.0,64452.0,526.0,526.0,22743.0,16256.0,32729.0,526.0,25736.0,35566.0,1179.0
1987-01-01,82900.0,41327.0,41573.0,572.0,58198.0,50599.0,82900.0,108797.0,135838.0,135838.0,7356.0,67796.0,115808.0,67224.0,401.0,26469.0,26469.0,26469.0,19113.0,572.0,58198.0,572.0,572.0,26469.0,19113.0,50599.0,572.0,48584.0,39645.0,1281.0
1988-01-01,84036.0,40159.0,43877.0,653.0,60601.0,51805.0,84036.0,112406.0,142083.0,142083.0,7716.0,69183.0,82390.0,68529.0,433.0,29024.0,29024.0,29024.0,21308.0,653.0,60601.0,653.0,653.0,29024.0,21308.0,51805.0,653.0,13861.0,38377.0,1349.0
1989-01-01,94536.0,44948.0,49588.0,1027.0,68171.0,60179.0,94536.0,128350.0,164218.0,164218.0,9210.0,79789.0,158178.0,78762.0,596.0,34841.0,34841.0,34841.0,25631.0,1027.0,68171.0,1027.0,1027.0,34841.0,25631.0,60179.0,1027.0,79416.0,42872.0,1480.0
1990-01-01,98103.0,45999.0,52104.0,937.0,66421.0,70539.0,98103.0,136960.0,177693.0,177693.0,10496.0,85794.0,56441.0,84857.0,771.0,39795.0,39795.0,39795.0,29299.0,937.0,66421.0,937.0,937.0,39795.0,29299.0,70539.0,937.0,-28415.0,43420.0,1808.0
1991-01-01,104037.0,47829.0,56208.0,1153.0,67828.0,78583.0,104037.0,146411.0,191090.0,191090.0,11781.0,91356.0,191886.0,90203.0,983.0,43527.0,43527.0,43527.0,31745.0,1153.0,67828.0,1153.0,1153.0,43527.0,31745.0,78583.0,1153.0,101683.0,44856.0,1990.0
1992-01-01,114327.0,49190.0,65137.0,1300.0,79072.0,78942.0,114327.0,158014.0,204301.0,204301.0,13110.0,94177.0,116566.0,92877.0,1247.0,44987.0,44987.0,44987.0,31877.0,1300.0,79072.0,1300.0,1300.0,44987.0,31877.0,78942.0,1300.0,23689.0,45780.0,2163.0
1993-01-01,124394.0,53379.0,71015.0,1562.0,82173.0,86185.0,124394.0,168358.0,215444.0,215444.0,14699.0,98904.0,170748.0,97342.0,1438.0,45525.0,45525.0,45525.0,30826.0,1562.0,82173.0,1562.0,1562.0,45525.0,30826.0,86185.0,1562.0,73406.0,49591.0,2350.0
1994-01-01,129372.0,54876.0,74496.0,1718.0,87219.0,89621.0,129372.0,176840.0,227743.0,227743.0,16875.0,104061.0,103343.0,102344.0,1611.0,49185.0,49185.0,49185.0,32311.0,1718.0,87219.0,1718.0,1718.0,49185.0,32311.0,89621.0,1718.0,1000.0,50671.0,2594.0
1995-01-01,140687.0,57632.0,83055.0,1471.0,105447.0,87619.0,140687.0,193066.0,248387.0,248387.0,18958.0,111482.0,345705.0,110010.0,1796.0,53850.0,53850.0,53850.0,34891.0,1471.0,105447.0,1471.0,1471.0,53850.0,34891.0,87619.0,1471.0,235695.0,53015.0,2821.0
1996-01-01,156571.0,62004.0,94567.0,1680.0,125574.0,88403.0,156571.0,213977.0,274743.0,274743.0,20788.0,121090.0,281450.0,119410.0,2058.0,59086.0,59086.0,59086.0,38299.0,1680.0,125574.0,1680.0,1680.0,59086.0,38299.0,88403.0,1680.0,162040.0,56909.0,3037.0
1997-01-01,174516.0,68968.0,105548.0,2403.0,146969.0,87713.0,174516.0,234682.0,299653.0,299653.0,22223.0,131537.0,420722.0,129134.0,2244.0,62569.0,62569.0,62569.0,40346.0,2403.0,146969.0,2403.0,2403.0,62569.0,40346.0,87713.0,2403.0,291588.0,63093.0,3631.0
1998-01-01,190292.0,76110.0,114182.0,3118.0,176196.0,74648.0,190292.0,250844.0,317631.0,317631.0,22657.0,139780.0,431414.0,136662.0,2426.0,63670.0,63670.0,63670.0,41013.0,3118.0,176196.0,3118.0,3118.0,63670.0,41013.0,74648.0,3118.0,294752.0,69664.0,4020.0
