Date,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross private domestic investment,Imports,Intellectual property products,National defense,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
2002-01-01,135.404,113.289,80.756,71.765,83.392,87.45333333333333,66.779,75.123,84.334,79.933,96.866,71.776,71.881,75.779,91.535,75.693,64.526,68.55266666666667,63.714,54.245
2002-04-01,134.525,112.535,81.241,72.315,83.405,88.71533333333333,67.88,75.432,84.267,82.102,96.499,72.156,72.707,77.445,91.347,76.146,64.898,69.351,65.108,54.837
2002-07-01,133.553,110.588,81.94,72.824,83.162,88.92666666666666,67.301,75.368,83.928,83.051,96.648,72.666,73.211,76.943,90.783,76.406,65.185,70.58233333333334,64.02,55.316
2002-10-01,132.812,111.119,82.091,73.773,83.854,89.069,68.48,76.075,84.592,83.081,96.617,74.25,73.143,77.426,91.209,76.919,66.264,70.77166666666666,65.309,55.957
2003-01-01,131.463,110.324,82.464,75.246,84.21,89.90266666666666,69.564,76.592,85.016,84.906,96.097,75.65,74.729,78.453,90.96,77.534,67.679,71.745,66.177,56.631
2003-04-01,129.831,109.063,82.564,75.716,83.925,89.15933333333334,70.426,76.937,84.691,83.976,96.037,76.169,75.113,78.34,90.448,77.671,67.788,72.78766666666667,67.224,56.673
2003-07-01,128.277,107.844,82.839,76.176,83.89,89.13966666666666,69.744,76.923,84.681,84.637,95.94,76.605,75.61,78.416,90.068,77.961,68.276,73.816,65.936,57.086
2003-10-01,127.121,108.727,83.331,76.259,84.707,89.31466666666665,70.632,77.594,85.502,84.574,95.632,76.844,75.43,78.741,90.59,78.41,69.491,74.11033333333333,67.247,57.839
2004-01-01,127.363,108.306,84.65,77.533,85.442,90.70333333333333,71.372,78.186,86.241,86.397,95.787,77.989,76.931,79.664,90.834,79.055,71.022,75.06,67.695,59.005
2004-04-01,127.134,108.408,85.527,78.226,86.264,92.15266666666666,73.001,79.007,87.067,87.897,95.672,78.678,77.63,81.754,91.256,79.744,72.435,75.41133333333333,69.823,60.324
