Date,Change in private inventories,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross private domestic investment,Imports,Intellectual property products,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
1947-01-01,1126.0,4469.0,3661.0,4581.0,6636.0,8094.0,9043.333333333334,9860.0,58497.0,9220.0,1912.0,501.0,5698.0,2669.0,938.0,17239.0,5966.0,36748.0,2129.0,5370.333333333333,3224.0,1804.0
1947-04-01,-1377.0,5439.0,3942.0,5067.0,6598.0,9003.0,10046.333333333334,10149.0,60672.0,7626.0,2001.0,500.0,5276.0,3066.0,1322.0,18813.0,6381.0,39831.0,2622.0,5586.666666666667,3551.0,1939.0
1947-07-01,-280.0,5226.0,3670.0,4566.0,6320.0,9943.0,9787.666666666666,9870.0,62196.0,9663.0,1894.0,509.0,4996.0,2672.0,1323.0,18933.0,6415.0,39991.0,3528.0,5696.0,3550.0,2236.0
1947-10-01,-21.0,6699.0,4043.0,4526.0,6182.0,10641.0,11622.0,9947.0,68250.0,10620.0,2126.0,510.0,5103.0,2400.0,1079.0,22610.0,6711.0,45282.0,3930.0,5689.333333333333,3766.0,2158.0
1948-01-01,2374.0,5167.0,3947.0,4216.0,6036.0,9688.0,9937.666666666666,9830.0,64258.0,12062.0,2428.0,516.0,5172.0,1788.0,864.0,19078.0,6502.0,40579.0,3186.0,5803.333333333333,3794.0,2039.0
1948-04-01,213.0,6107.0,4267.0,3934.0,6395.0,11220.0,10494.0,10622.0,66539.0,11433.0,2487.0,517.0,5139.0,1447.0,1256.0,20120.0,7100.0,43037.0,4121.0,5992.0,4227.0,2316.0
1948-07-01,2245.0,6125.0,4134.0,3622.0,6748.0,11793.0,10349.0,10986.0,69378.0,14038.0,2608.0,524.0,5179.0,1014.0,1568.0,20090.0,7229.0,43339.0,4564.0,6174.333333333333,4238.0,2571.0
1948-10-01,826.0,7055.0,4932.0,3775.0,7865.0,11988.0,11966.666666666666,12320.0,74295.0,12814.0,2537.0,518.0,5398.0,1238.0,2467.0,23678.0,8050.0,47924.0,3938.0,6112.0,4455.0,2600.0
1949-01-01,1664.0,5327.0,3829.0,3993.0,7464.0,9497.0,9806.666666666666,11916.0,66185.0,11161.0,2420.0,505.0,5616.0,1573.0,1848.0,18799.0,6535.0,41535.0,2962.0,6176.0,4452.0,2201.0
1949-04-01,-2570.0,6540.0,4147.0,4032.0,7370.0,10473.0,10627.333333333334,12316.0,66340.0,7904.0,2304.0,502.0,5688.0,1728.0,1683.0,20262.0,6966.0,44392.0,3507.0,6282.0,4946.0,2317.0
