Date,Change in private inventories,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross private domestic investment,Imports,Intellectual property products,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
2002-01-01,,,,295286.0,,,,745431.0,3501118.0,539066.0,406092.0,,,,,,,2330097.0,,,,
2002-04-01,,,,312232.0,,,,777674.0,3608496.0,573422.0,439460.0,,,,,,,2387313.0,,,,
2002-07-01,,,,305851.0,,,,780291.0,3650253.0,605909.0,450917.0,,,,,,,2409670.0,,,,
2002-10-01,,,,311042.0,,,,787118.0,3712845.0,569288.0,455960.0,,,,,,,2505687.0,,,,
2003-01-01,,,,298660.0,,,,765909.0,3582767.0,566439.0,430084.0,,,,,,,2384233.0,,,,
2003-04-01,,,,308241.0,,,,792988.0,3680929.0,582450.0,457045.0,,,,,,,2458563.0,,,,
2003-07-01,,,,309392.0,,,,795702.0,3753431.0,624301.0,470581.0,,,,,,,2495691.0,,,,
2003-10-01,,,,333909.0,,,,799288.0,3860185.0,613190.0,484521.0,,,,,,,2599081.0,,,,
2004-01-01,,,,330281.0,,,,784376.0,3741640.0,608982.0,473737.0,,,,,,,2491964.0,,,,
2004-04-01,,,,344832.0,,,,802724.0,3837587.0,658754.0,512251.0,,,,,,,2542576.0,,,,
2004-07-01,,,,338906.0,,,,807494.0,3879617.0,682499.0,523882.0,,,,,,,2573095.0,,,,
2004-10-01,,,,356752.0,,,,807603.0,3990913.0,656739.0,534664.0,,,,,,,2704579.0,,,,
2005-01-01,,,,350283.0,,,,791717.0,3867076.0,662537.0,512889.0,,,,,,,2572500.0,,,,
2005-04-01,,,,369193.0,,,,808493.0,3972818.0,690845.0,544171.0,,,,,,,2645517.0,,,,
2005-07-01,,,,362884.0,,,,813329.0,4040686.0,732881.0,552481.0,,,,,,,2678156.0,,,,
2005-10-01,,,,383646.0,,,,812655.0,4107378.0,695972.0,567708.0,,,,,,,2781237.0,,,,
2006-01-01,,,,382392.0,,,,805837.0,4003482.0,705315.0,552856.0,,,,,,,2658039.0,,,,
2006-04-01,,,,404913.0,,,,824752.0,4116718.0,737689.0,583875.0,,,,,,,2728060.0,,,,
2006-07-01,,,,397066.0,,,,820191.0,4111947.0,741871.0,592506.0,,,,,,,2741650.0,,,,
2006-10-01,,,,420550.0,,,,826464.0,4201000.0,683027.0,587797.0,,,,,,,2859024.0,,,,
2007-01-01,31034.0,222910.0,199311.0,410814.0,293973.0,649287.0,510263.3333333333,809378.0,4063753.0,676124.0,569186.0,135103.0,187197.0,-158372.0,106490.0,573660.0,467681.0,2735270.0,189743.0,729866.6666666666,516927.0,136426.0
2007-04-01,2425.0,245705.0,212293.0,432167.0,299860.0,718290.0,537427.6666666666,837958.0,4184414.0,713705.0,596378.0,137826.0,191443.0,-164211.0,108107.0,599332.0,499659.0,2794539.0,230486.0,736693.3333333334,539951.0,154519.0
2007-07-01,12618.0,248083.0,209759.0,439863.0,307987.0,715684.0,541252.6666666666,840651.0,4208612.0,725356.0,606546.0,137399.0,195690.0,-166683.0,112013.0,600235.0,505643.0,2806738.0,220533.0,743281.0,534046.0,165554.0
2007-10-01,-11335.0,268703.0,218512.0,462691.0,308619.0,698891.0,574330.6666666666,847870.0,4305666.0,680837.0,604316.0,142400.0,196936.0,-141625.0,111366.0,661253.0,523077.0,2917305.0,181159.0,750289.3333333334,540770.0,169017.0
2008-01-01,31437.0,226769.0,203732.0,448190.0,310369.0,640992.0,523616.6666666667,828444.0,4182537.0,672710.0,571347.0,142914.0,198943.0,-123158.0,111068.0,587606.0,497996.0,2799546.0,144664.0,751369.3333333334,519081.0,157620.0
