Date,Business current transfer payments (net),"Compensation of employees, paid",Consumption of fixed capital,"Corporate profits with inventory valuation and capital consumption adjustments, domestic industries",Current surplus of government enterprises,Government,Gross domestic income,Less: Subsidies,Net dividends,"Net interest and miscellaneous payments, domestic industries",Net operating surplus,Private,Private enterprises,Profits after tax with inventory valuation and capital consumption adjustments,Proprietors' income with inventory valuation and capital consumption adjustments,Rental income of persons with capital consumption adjustment,Supplements to wages and salaries,Taxes on corporate income,Taxes on production and imports,To the rest of the world,Undistributed corporate profits with inventory valuation and capital consumption adjustments,Wages and salaries
2002-01-01,21981.0,1530472.0,409382.0,168587.0,1146.0,73141.0,2703004.0,10643.0,93377.0,135016.0,588094.0,336241.0,586949.0,133678.0,209536.0,51829.0,279813.0,34909.0,185698.0,2956.0,40301.0,1250659.0
2002-04-01,20388.0,1504719.0,412313.0,207483.0,1353.0,73724.0,2733296.0,9955.0,95476.0,138188.0,638725.0,338589.0,637372.0,164995.0,219100.0,52214.0,280656.0,42488.0,187495.0,3225.0,69519.0,1224064.0
2002-07-01,19387.0,1493939.0,416101.0,201819.0,2627.0,74344.0,2724615.0,10333.0,90149.0,137630.0,632229.0,341757.0,629602.0,158159.0,218846.0,51919.0,283197.0,43660.0,192680.0,3322.0,68010.0,1210742.0
2002-10-01,19000.0,1614237.0,420185.0,195700.0,2447.0,74952.0,2849862.0,10464.0,100442.0,139462.0,631746.0,345233.0,629299.0,156084.0,222650.0,52486.0,295605.0,39616.0,194158.0,3320.0,55642.0,1318632.0
2003-01-01,19480.0,1570742.0,423757.0,188756.0,1757.0,75683.0,2792726.0,11780.0,88307.0,137064.0,613168.0,348074.0,611411.0,141821.0,211436.0,54675.0,297852.0,46935.0,196839.0,3169.0,53515.0,1272890.0
2003-04-01,18892.0,1551203.0,427199.0,226053.0,1402.0,76343.0,2824605.0,14285.0,111230.0,132799.0,660820.0,350856.0,659418.0,177784.0,225875.0,55799.0,299447.0,48269.0,199668.0,3357.0,66554.0,1251756.0
2003-07-01,18947.0,1550977.0,431428.0,240574.0,1075.0,77131.0,2847122.0,11481.0,104473.0,127281.0,672394.0,354297.0,671320.0,187261.0,227640.0,56878.0,303106.0,53313.0,203803.0,3401.0,82789.0,1247872.0
2003-10-01,18728.0,1689374.0,436714.0,262761.0,887.0,77976.0,3016191.0,11512.0,118944.0,121629.0,696309.0,358739.0,695422.0,197515.0,232559.0,59745.0,314932.0,65246.0,205306.0,3434.0,78571.0,1374441.0
2004-01-01,20102.0,1649406.0,443497.0,246263.0,472.0,78972.0,2963513.0,11060.0,120914.0,112827.0,670164.0,364524.0,669691.0,187822.0,229749.0,60750.0,317695.0,58441.0,211507.0,3388.0,66908.0,1331711.0
2004-04-01,19905.0,1625616.0,450902.0,287717.0,282.0,80294.0,3006661.0,10915.0,121153.0,113789.0,726421.0,370608.0,726139.0,214753.0,243873.0,60855.0,318734.0,72964.0,214637.0,3760.0,93600.0,1306882.0
2004-07-01,19622.0,1639224.0,458786.0,282483.0,-103.0,81859.0,3022444.0,11345.0,120262.0,113881.0,717397.0,376927.0,717500.0,216144.0,241064.0,60450.0,323723.0,66339.0,218381.0,3691.0,95882.0,1315501.0
2004-10-01,22333.0,1815055.0,468653.0,308949.0,-296.0,83591.0,3252680.0,13066.0,155190.0,118541.0,758465.0,385062.0,758761.0,228181.0,248211.0,60728.0,338323.0,80767.0,223572.0,3708.0,72991.0,1476732.0
2005-01-01,21080.0,1721997.0,477900.0,293107.0,-569.0,84797.0,3144339.0,14182.0,116486.0,127535.0,730200.0,393104.0,730769.0,204294.0,230625.0,58422.0,337219.0,88813.0,228423.0,3858.0,87807.0,1384779.0
2005-04-01,24105.0,1715998.0,487242.0,327313.0,-726.0,86274.0,3217536.0,15173.0,97394.0,140968.0,795486.0,400968.0,796212.0,232580.0,246038.0,57789.0,339104.0,94733.0,233984.0,4201.0,135186.0,1376894.0
2005-07-01,22996.0,1760806.0,497419.0,325598.0,-1075.0,87941.0,3279517.0,15496.0,59431.0,149005.0,798224.0,409478.0,799299.0,233349.0,248311.0,53388.0,345076.0,92249.0,238565.0,4188.0,173919.0,1415729.0
2005-10-01,22460.0,1878921.0,508490.0,358311.0,-1080.0,89409.0,3454806.0,16058.0,45081.0,156622.0,841987.0,419081.0,843067.0,254357.0,254167.0,51507.0,353329.0,103954.0,241466.0,4163.0,209276.0,1525591.0
2006-01-01,19246.0,1885470.0,517607.0,344146.0,-644.0,90582.0,3460409.0,13932.0,143544.0,161026.0,826159.0,427025.0,826803.0,248008.0,253757.0,48627.0,354869.0,96138.0,245105.0,3974.0,104464.0,1530602.0
2006-04-01,19045.0,1814190.0,526774.0,368528.0,-1175.0,92325.0,3456111.0,12886.0,146368.0,181720.0,880478.0,434448.0,881653.0,263082.0,266501.0,45859.0,350740.0,105446.0,247556.0,4310.0,116714.0,1463450.0
2006-07-01,20640.0,1809308.0,535277.0,388008.0,-1741.0,93797.0,3480257.0,12472.0,159383.0,181988.0,896586.0,441480.0,898326.0,277311.0,263243.0,44448.0,352029.0,110696.0,251557.0,4158.0,117928.0,1457279.0
2006-10-01,20887.0,1982286.0,544508.0,355704.0,-2345.0,95620.0,3628599.0,12177.0,188643.0,177361.0,861160.0,448888.0,863505.0,237837.0,267368.0,42185.0,365300.0,117867.0,252822.0,4206.0,49193.0,1616987.0
2007-01-01,24536.0,1997221.0,553669.0,324579.0,-3044.0,97739.0,3618104.0,12375.0,165197.0,184015.0,823499.0,455929.0,826543.0,226629.0,252794.0,40619.0,368527.0,97950.0,256089.0,3796.0,61432.0,1628694.0
