Date,Statistical discrepancy,To persons
2002-01-01,-71885.0,1247703.0
2002-04-01,-11455.0,1220839.0
2002-07-01,26848.0,1207419.0
2002-10-01,-25176.0,1315312.0
2003-01-01,-48991.0,1269721.0
2003-04-01,6808.0,1248399.0
2003-07-01,39783.0,1244471.0
2003-10-01,-21793.0,1371007.0
2004-01-01,-38911.0,1328323.0
2004-04-01,25724.0,1303122.0
2004-07-01,47244.0,1311810.0
2004-10-01,-62159.0,1473024.0
2005-01-01,-33010.0,1380921.0
2005-04-01,14515.0,1372692.0
2005-07-01,26934.0,1411541.0
2005-10-01,-65438.0,1521428.0
2006-01-01,-127143.0,1526628.0
2006-04-01,4879.0,1459140.0
2006-07-01,-16562.0,1453122.0
2006-10-01,-70966.0,1612780.0
2007-01-01,-136098.0,1624899.0
2007-04-01,5462.0,1541385.0
2007-07-01,81225.0,1531869.0
2007-10-01,61711.0,1693020.0
2008-01-01,750.0,1674691.0
2008-04-01,146237.0,1582562.0
2008-07-01,101204.0,1569043.0
2008-10-01,-56989.0,1702435.0
2009-01-01,-14790.0,1577396.0
2009-04-01,79590.0,1509017.0
2009-07-01,115154.0,1487261.0
2009-10-01,11770.0,1669695.0
2010-01-01,-16317.0,1547737.0
2010-04-01,67389.0,1541836.0
2010-07-01,65380.0,1543379.0
2010-10-01,-47009.0,1733629.0
2011-01-01,-63055.0,1645407.0
2011-04-01,41943.0,1601868.0
2011-07-01,18790.0,1639813.0
2011-10-01,-21966.0,1732990.0
2012-01-01,-133517.0,1753832.0
2012-04-01,-18070.0,1663799.0
2012-07-01,70155.0,1655383.0
2012-10-01,-72216.0,1848808.0
2013-01-01,-103199.0,1796499.0
2013-04-01,9737.0,1716219.0
2013-07-01,73084.0,1711929.0
2013-10-01,-9408.0,1882734.0
2014-01-01,-135007.0,1893230.0
2014-04-01,3164.0,1788487.0
2014-07-01,48092.0,1796971.0
2014-10-01,-57189.0,1991140.0
2015-01-01,-149404.0,1974363.0
2015-04-01,44711.0,1879387.0
2015-07-01,87999.0,1880900.0
2015-10-01,-76278.0,2118254.0
2016-01-01,-78835.0,2004922.0
2016-04-01,51522.0,1950723.0
2016-07-01,20940.0,2013115.0
2016-10-01,53617.0,2116149.0
2017-01-01,-209383.0,2167919.0
2017-04-01,95342.0,2037716.0
2017-07-01,132122.0,2031985.0
2017-10-01,49821.0,2230442.0
2018-01-01,-157722.0,2283246.0
2018-04-01,120529.0,2139006.0
2018-07-01,119590.0,2135020.0
2018-10-01,-18958.0,2335610.0
2019-01-01,-206069.0,2385061.0
2019-04-01,110477.0,2247248.0
2019-07-01,114749.0,2238492.0
2019-10-01,37381.0,2447292.0
2020-01-01,-209402.0,2494088.0
2020-04-01,141040.0,2147203.0
2020-07-01,243728.0,2224756.0
2020-10-01,-67735.0,2592786.0
2021-01-01,-110839.0,2479741.0
2021-04-01,136634.0,2450709.0
2021-07-01,56070.0,2498675.0
2021-10-01,-80211.0,2879380.0
2022-01-01,-212714.0,2779125.0
2022-04-01,83535.0,2666309.0
2022-07-01,20321.0,2766927.0
2022-10-01,51440.0,2903352.0
2023-01-01,-232480.0,3036352.0
2023-04-01,168479.0,2817538.0
2023-07-01,225617.0,2814272.0
2023-10-01,88249.0,3049346.0
2024-01-01,-247643.0,3189585.0
2024-04-01,169715.0,2970834.0
2024-07-01,198038.0,2954616.0
2024-10-01,30182.0,3272663.0
