Date,Consumption expenditures,Consumption of fixed capital,Contributions for government social insurance,Current expenditures,Current receipts,Current surplus of government enterprises,Current tax receipts,Current transfer payments,Current transfer payments to the rest of the world,Current transfer receipts,Federal grants-in-aid,From business (net),From persons,From the rest of the world,Government social benefit payments to persons,Gross government investment,Income receipts on assets,Interest payments,Net state and local government saving,Personal current taxes,Subsidies,Taxes on corporate income,Taxes on production and imports,To persons and business,To the rest of the world
1947-01-01,2695.0,448.0,44.0,3317.0,3278.0,83.0,2870.0,410.0,,174.0,120.0,14.0,41.0,,410.0,529.0,106.0,213.0,-40.0,243.0,,155.0,2472.0,213.0,
1947-04-01,2829.0,458.0,45.0,3519.0,3457.0,89.0,2945.0,475.0,,271.0,213.0,15.0,43.0,,475.0,722.0,107.0,215.0,-62.0,247.0,,146.0,2552.0,215.0,
1947-07-01,2701.0,476.0,43.0,3511.0,3695.0,84.0,3053.0,593.0,,407.0,345.0,16.0,46.0,,593.0,850.0,108.0,218.0,184.0,254.0,,145.0,2654.0,218.0,
1947-10-01,2977.0,493.0,43.0,3765.0,3747.0,80.0,3175.0,567.0,,340.0,273.0,17.0,50.0,,567.0,788.0,109.0,221.0,-19.0,253.0,,158.0,2765.0,221.0,
1948-01-01,3076.0,511.0,51.0,4012.0,3841.0,75.0,3304.0,709.0,,295.0,221.0,19.0,55.0,,709.0,718.0,116.0,226.0,-171.0,285.0,,164.0,2856.0,226.0,
1948-04-01,3218.0,527.0,51.0,4156.0,4014.0,70.0,3395.0,707.0,,381.0,303.0,20.0,59.0,,707.0,1009.0,117.0,231.0,-142.0,285.0,,173.0,2936.0,231.0,
1948-07-01,3030.0,546.0,50.0,3952.0,4182.0,65.0,3480.0,686.0,,470.0,387.0,20.0,63.0,,686.0,1208.0,117.0,236.0,230.0,286.0,,170.0,3024.0,236.0,
1948-10-01,3321.0,553.0,49.0,4155.0,4309.0,64.0,3531.0,593.0,,547.0,460.0,21.0,66.0,,593.0,1134.0,119.0,242.0,154.0,284.0,,164.0,3083.0,242.0,
1949-01-01,3450.0,552.0,50.0,4314.0,4390.0,77.0,3646.0,616.0,,494.0,404.0,21.0,69.0,,616.0,1002.0,123.0,248.0,76.0,333.0,,164.0,3149.0,248.0,
1949-04-01,3562.0,544.0,48.0,4456.0,4431.0,79.0,3705.0,640.0,,475.0,383.0,22.0,71.0,,640.0,1384.0,124.0,254.0,-25.0,338.0,,144.0,3224.0,254.0,
1949-07-01,3336.0,541.0,49.0,4275.0,4650.0,83.0,3792.0,678.0,,603.0,509.0,23.0,72.0,,678.0,1589.0,123.0,261.0,375.0,343.0,,150.0,3299.0,261.0,
1949-10-01,3640.0,539.0,47.0,4630.0,4705.0,85.0,3853.0,723.0,,598.0,502.0,24.0,72.0,,723.0,1422.0,122.0,267.0,75.0,344.0,,147.0,3362.0,267.0,
1950-01-01,3770.0,523.0,54.0,4839.0,4740.0,87.0,3938.0,795.0,,532.0,435.0,27.0,70.0,,795.0,1168.0,128.0,274.0,-99.0,367.0,,146.0,3426.0,274.0,
1950-04-01,3863.0,525.0,55.0,5067.0,4864.0,90.0,4036.0,923.0,,553.0,455.0,28.0,70.0,,923.0,1512.0,130.0,281.0,-203.0,370.0,,175.0,3492.0,281.0,
1950-07-01,3600.0,549.0,56.0,4645.0,5065.0,87.0,4226.0,757.0,,562.0,462.0,29.0,71.0,,757.0,1697.0,135.0,289.0,420.0,371.0,,215.0,3640.0,289.0,
1950-10-01,3939.0,584.0,58.0,4951.0,5146.0,90.0,4266.0,715.0,,589.0,487.0,30.0,72.0,,715.0,1547.0,144.0,296.0,195.0,373.0,,234.0,3659.0,296.0,
1951-01-01,4043.0,625.0,59.0,5038.0,5379.0,95.0,4485.0,690.0,,582.0,478.0,30.0,74.0,,690.0,1376.0,159.0,305.0,341.0,411.0,,257.0,3817.0,305.0,
1951-04-01,4171.0,650.0,59.0,5147.0,5368.0,99.0,4450.0,663.0,,593.0,488.0,30.0,75.0,,663.0,1819.0,167.0,312.0,222.0,416.0,,218.0,3816.0,312.0,
1951-07-01,3875.0,667.0,62.0,4840.0,5441.0,102.0,4533.0,646.0,,575.0,468.0,31.0,77.0,,646.0,2032.0,169.0,320.0,601.0,424.0,,197.0,3912.0,320.0,
1951-10-01,4229.0,679.0,62.0,5200.0,5636.0,104.0,4650.0,645.0,,653.0,544.0,32.0,77.0,,645.0,1811.0,167.0,326.0,436.0,429.0,,211.0,4010.0,326.0,
1952-01-01,4270.0,675.0,67.0,5309.0,5652.0,107.0,4752.0,707.0,,562.0,452.0,33.0,77.0,,707.0,1506.0,164.0,332.0,344.0,454.0,,211.0,4087.0,332.0,
1952-04-01,4538.0,693.0,68.0,5626.0,5782.0,102.0,4857.0,749.0,,593.0,481.0,34.0,78.0,,749.0,1920.0,162.0,339.0,155.0,461.0,,199.0,4197.0,339.0,
1952-07-01,4098.0,718.0,69.0,5169.0,5963.0,97.0,4960.0,723.0,,675.0,561.0,35.0,80.0,,723.0,2111.0,162.0,347.0,794.0,462.0,,198.0,4301.0,347.0,
1952-10-01,4464.0,710.0,74.0,5554.0,6138.0,97.0,5096.0,734.0,,705.0,589.0,35.0,81.0,,734.0,1860.0,166.0,357.0,583.0,461.0,,218.0,4416.0,357.0,
1953-01-01,4625.0,725.0,74.0,5717.0,6073.0,105.0,5184.0,725.0,,530.0,412.0,34.0,84.0,,725.0,1559.0,180.0,367.0,356.0,478.0,,216.0,4491.0,367.0,
1953-04-01,4692.0,721.0,75.0,5819.0,6366.0,110.0,5258.0,750.0,,738.0,617.0,35.0,86.0,,750.0,2044.0,185.0,377.0,547.0,481.0,,217.0,4561.0,377.0,
1953-07-01,4418.0,729.0,78.0,5576.0,6417.0,115.0,5346.0,770.0,,689.0,565.0,37.0,88.0,,770.0,2309.0,189.0,388.0,840.0,488.0,,211.0,4647.0,388.0,
1953-10-01,4761.0,719.0,79.0,5887.0,6474.0,123.0,5351.0,727.0,,731.0,603.0,38.0,90.0,,727.0,2084.0,190.0,399.0,587.0,490.0,,165.0,4696.0,399.0,
1954-01-01,4905.0,712.0,79.0,6064.0,6515.0,133.0,5434.0,749.0,,668.0,534.0,42.0,92.0,,749.0,1783.0,200.0,410.0,451.0,514.0,,180.0,4740.0,410.0,
1954-04-01,5077.0,743.0,81.0,6260.0,6578.0,140.0,5510.0,761.0,,646.0,510.0,43.0,93.0,,761.0,2399.0,200.0,422.0,318.0,522.0,,185.0,4803.0,422.0,
1954-07-01,4758.0,745.0,82.0,5966.0,6760.0,145.0,5599.0,772.0,,734.0,596.0,44.0,94.0,,772.0,2721.0,201.0,435.0,795.0,527.0,,197.0,4875.0,435.0,
1954-10-01,5177.0,761.0,82.0,6412.0,6886.0,152.0,5703.0,785.0,,748.0,609.0,44.0,95.0,,785.0,2392.0,202.0,449.0,475.0,529.0,,211.0,4964.0,449.0,
1955-01-01,5409.0,753.0,83.0,6673.0,6990.0,170.0,5891.0,800.0,,644.0,508.0,42.0,93.0,,800.0,1979.0,202.0,464.0,317.0,591.0,,234.0,5066.0,464.0,
1955-04-01,5558.0,767.0,84.0,6861.0,7152.0,183.0,6003.0,825.0,,675.0,539.0,42.0,94.0,,825.0,2616.0,206.0,479.0,290.0,590.0,,237.0,5176.0,479.0,
1955-07-01,5172.0,809.0,84.0,6481.0,7440.0,191.0,6175.0,815.0,,779.0,641.0,43.0,95.0,,815.0,2939.0,212.0,494.0,960.0,602.0,,245.0,5328.0,494.0,
1955-10-01,5660.0,832.0,86.0,6981.0,7596.0,195.0,6327.0,812.0,,769.0,628.0,43.0,98.0,,812.0,2611.0,219.0,509.0,614.0,606.0,,252.0,5469.0,509.0,
1956-01-01,5817.0,866.0,89.0,7159.0,7726.0,192.0,6537.0,817.0,,675.0,529.0,45.0,101.0,,817.0,2216.0,234.0,525.0,567.0,666.0,,261.0,5610.0,525.0,
1956-04-01,6038.0,895.0,91.0,7391.0,7912.0,191.0,6689.0,812.0,,698.0,547.0,46.0,105.0,,812.0,2934.0,243.0,541.0,521.0,667.0,,267.0,5755.0,541.0,
1956-07-01,5627.0,925.0,94.0,7002.0,8190.0,191.0,6818.0,817.0,,837.0,680.0,47.0,111.0,,817.0,3309.0,250.0,558.0,1187.0,672.0,,252.0,5893.0,558.0,
1956-10-01,6198.0,945.0,96.0,7621.0,8331.0,189.0,6950.0,846.0,,840.0,676.0,47.0,117.0,,846.0,2926.0,256.0,577.0,711.0,673.0,,264.0,6013.0,577.0,
1957-01-01,6374.0,960.0,98.0,7839.0,8487.0,187.0,7135.0,869.0,,801.0,630.0,46.0,125.0,,869.0,2466.0,267.0,595.0,648.0,717.0,,272.0,6146.0,595.0,
1957-04-01,6637.0,988.0,98.0,8137.0,8565.0,187.0,7236.0,887.0,,774.0,598.0,47.0,130.0,,887.0,3272.0,270.0,613.0,428.0,722.0,,260.0,6253.0,613.0,
1957-07-01,6196.0,1000.0,100.0,7736.0,8841.0,196.0,7320.0,912.0,,952.0,770.0,49.0,133.0,,912.0,3678.0,273.0,628.0,1105.0,726.0,,255.0,6339.0,628.0,
1957-10-01,6846.0,1002.0,101.0,8421.0,8891.0,193.0,7337.0,933.0,,987.0,801.0,52.0,134.0,,933.0,3239.0,273.0,641.0,471.0,727.0,,232.0,6378.0,641.0,
1958-01-01,7131.0,994.0,98.0,8769.0,8803.0,189.0,7424.0,992.0,,802.0,607.0,60.0,135.0,,992.0,2715.0,290.0,646.0,34.0,756.0,,222.0,6447.0,646.0,
1958-04-01,7427.0,1019.0,99.0,9095.0,8984.0,186.0,7518.0,1005.0,,891.0,698.0,60.0,134.0,,1005.0,3570.0,291.0,663.0,-111.0,757.0,,227.0,6534.0,663.0,
1958-07-01,6875.0,1044.0,98.0,8563.0,9324.0,187.0,7712.0,1001.0,,1035.0,849.0,55.0,131.0,,1001.0,3963.0,292.0,687.0,761.0,769.0,,258.0,6685.0,687.0,
