Table,Column,Best Lag,p-value,Pearson Corr,Spearman Corr,Kendall Corr,Corrected p-value,Category,Filename,Metric,Table_Metric
T62000D,"Motor vehicles, bodies and trailers, and parts",6,1.2011653528166251e-05,-0.027490829867124974,-0.026163610994708285,-0.01790931599090559,0.02506471711017231,T6,T62000D_Current Dollars.csv,Current Dollars,T62000D_Current Dollars
T51000,General government,6,1.4945513275464986e-05,0.03153129570615175,0.03611069477228883,0.0254834919164997,0.02506471711017231,T5,T51000_Current Dollars.csv,Current Dollars,T51000_Current Dollars
T62000D,Food and beverage and tobacco products,6,3.392885814939007e-05,-0.021564146579657096,0.0003543498568625361,-0.00020996475142503337,0.02506471711017231,T6,T62000D_Current Dollars.csv,Current Dollars,T62000D_Current Dollars
T62100D,Machinery,6,4.445258528316899e-05,0.024267750491157734,0.004746726289414757,0.002618915179064933,0.02506471711017231,T6,T62100D_Current Dollars.csv,Current Dollars,T62100D_Current Dollars
T62100D,Food and beverage and tobacco products,6,4.542937474189871e-05,0.02273289364074011,0.002870652775320862,0.0012132801872668058,0.02506471711017231,T6,T62100D_Current Dollars.csv,Current Dollars,T62100D_Current Dollars
T62100D,"Mining, except oil and gas",6,4.562364598134692e-05,0.023480638486046965,0.014371010523871665,0.010681110096686377,0.02506471711017231,T6,T62100D_Current Dollars.csv,Current Dollars,T62100D_Current Dollars
T62000D,"Mining, except oil and gas",6,4.839701084652006e-05,-0.02555278109624118,-0.007853058262753346,-0.004798033222886892,0.02506471711017231,T6,T62000D_Current Dollars.csv,Current Dollars,T62000D_Current Dollars
T71000,Nonfinancial,6,5.11224782990285e-05,0.011034153496585715,-0.0026786516404311398,-0.001293175873890488,0.02506471711017231,T7,T71000_Current Dollars.csv,Current Dollars,T71000_Current Dollars
T62100D,Manufacturing,6,5.339159328795015e-05,0.018932462526730504,0.010398544996690956,0.006213947766034844,0.02506471711017231,T6,T62100D_Current Dollars.csv,Current Dollars,T62100D_Current Dollars
T62000D,Machinery,6,5.395250055097052e-05,-0.025684233429546628,-0.024554165911837535,-0.0170676508368061,0.02506471711017231,T6,T62000D_Current Dollars.csv,Current Dollars,T62000D_Current Dollars
